date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2005-01-03,2.0000,,,,0,2.0000,153.0000,155
2005-01-07,1.0000,,2.0000,,0,3.0000,49.0000,52
2005-01-08,6.0000,6.0000,4.0000,4.0000,0,20.0000,2.0000,22
2005-01-09,10.0000,3.0000,5.0000,1.0000,0,19.0000,97.0000,116
2005-01-11,3.0000,,,,0,3.0000,143.0000,146
2005-01-12,3.0000,,,,0,3.0000,168.0000,171
2005-01-13,4.0000,,1.0000,,0,5.0000,124.0000,129
2005-01-14,1.0000,1.0000,,1.0000,0,3.0000,62.0000,65
2005-01-15,4.0000,1.0000,1.0000,3.0000,0,9.0000,2.0000,11
2005-01-16,11.0000,3.0000,3.0000,2.0000,0,19.0000,108.0000,127
2005-01-17,11.0000,,,,0,11.0000,192.0000,203
2005-01-18,5.0000,,,,0,5.0000,175.0000,180
2005-01-19,1.0000,,,,0,1.0000,144.0000,145
2005-01-20,3.0000,,,,0,3.0000,139.0000,142
2005-01-21,2.0000,,2.0000,1.0000,0,5.0000,65.0000,70
2005-01-22,6.0000,14.0000,9.0000,5.0000,0,34.0000,10.0000,44
2005-01-23,16.0000,12.0000,4.0000,1.0000,0,33.0000,97.0000,130
2005-01-24,1.0000,,,,0,1.0000,194.0000,195
2005-01-26,4.0000,,,,0,4.0000,164.0000,168
2005-01-27,1.0000,,,,0,1.0000,144.0000,145
2005-01-28,,3.0000,1.0000,,0,4.0000,96.0000,100
2005-01-29,9.0000,11.0000,4.0000,5.0000,0,29.0000,6.0000,35
2005-01-30,6.0000,6.0000,2.0000,1.0000,0,15.0000,92.0000,107
2005-01-31,1.0000,,,,0,1.0000,180.0000,181
2005-02-01,2.0000,,,,0,2.0000,190.0000,192
2005-02-02,5.0000,,,,0,5.0000,180.0000,185
2005-02-03,5.0000,1.0000,,,0,6.0000,215.0000,221
2005-02-04,1.0000,,,,0,1.0000,93.0000,94
2005-02-07,2.0000,1.0000,2.0000,,0,5.0000,144.0000,149
2005-02-08,4.0000,2.0000,,,0,6.0000,201.0000,207
2005-02-09,2.0000,1.0000,,,0,3.0000,169.0000,172
2005-02-10,5.0000,1.0000,,,0,6.0000,181.0000,187
2005-02-11,7.0000,2.0000,,,0,9.0000,131.0000,140
2005-02-12,12.0000,10.0000,3.0000,4.0000,0,29.0000,5.0000,34
2005-02-13,15.0000,15.0000,2.0000,3.0000,0,35.0000,81.0000,116
2005-02-14,2.0000,,,,0,2.0000,229.0000,231
2005-02-15,4.0000,,,,0,4.0000,167.0000,171
2005-02-16,5.0000,,,,0,5.0000,167.0000,172
2005-02-17,11.0000,1.0000,,,0,12.0000,194.0000,206
2005-02-18,4.0000,,1.0000,,0,5.0000,133.0000,138
2005-02-19,11.0000,9.0000,5.0000,1.0000,0,26.0000,13.0000,39
2005-02-20,9.0000,1.0000,2.0000,1.0000,0,13.0000,111.0000,124
2005-02-21,24.0000,,,,0,24.0000,292.0000,316
2005-02-23,3.0000,,,,0,3.0000,164.0000,167
2005-02-24,4.0000,,,,0,4.0000,187.0000,191
2005-02-25,3.0000,1.0000,1.0000,,0,5.0000,71.0000,76
2005-02-26,6.0000,8.0000,2.0000,5.0000,0,21.0000,2.0000,23
2005-02-27,4.0000,3.0000,6.0000,3.0000,0,16.0000,77.0000,93
2005-03-01,4.0000,,,,0,4.0000,168.0000,172
2005-03-02,2.0000,,,,0,2.0000,210.0000,212
2005-03-03,10.0000,1.0000,,,0,11.0000,230.0000,241
2005-03-04,,1.0000,1.0000,,0,2.0000,125.0000,127
2005-03-06,4.0000,,,,0,4.0000,96.0000,100
