event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
EZ_ECB_ECB_INTEREST_RATE_DECISION_2025-01-30;ECB Interest Rate Decision;EZ;Europe/Berlin;2025-01-30T14:15;ECB;2025-01;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.mp250130~530b29e622.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_PRESS_CONFERENCE_2025-01-30;ECB Press Conference;EZ;Europe/Berlin;2025-01-30T14:45;ECB;2025-01;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2025/html/ecb.is250130~1f418aa0f4.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_INTEREST_RATE_DECISION_2025-03-06;ECB Interest Rate Decision;EZ;Europe/Berlin;2025-03-06T14:15;ECB;2025-03;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.mp250306~d4340800b3.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_PRESS_CONFERENCE_2025-03-06;ECB Press Conference;EZ;Europe/Berlin;2025-03-06T14:45;ECB;2025-03;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2025/html/ecb.is250306~4307bd0941.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_INTEREST_RATE_DECISION_2025-04-17;ECB Interest Rate Decision;EZ;Europe/Berlin;2025-04-17T14:15;ECB;2025-04;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.mp250417~2c8a073dc2.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_PRESS_CONFERENCE_2025-04-17;ECB Press Conference;EZ;Europe/Berlin;2025-04-17T14:45;ECB;2025-04;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2025/html/ecb.is250417~091c625eb6.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_INTEREST_RATE_DECISION_2025-06-05;ECB Interest Rate Decision;EZ;Europe/Berlin;2025-06-05T14:15;ECB;2025-06;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.mp250605~3b5f67d007.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_PRESS_CONFERENCE_2025-06-05;ECB Press Conference;EZ;Europe/Berlin;2025-06-05T14:45;ECB;2025-06;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2025/html/ecb.is250605~f00a36ef2b.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_INTEREST_RATE_DECISION_2025-07-24;ECB Interest Rate Decision;EZ;Europe/Berlin;2025-07-24T14:15;ECB;2025-07;high;Monetary policy decision;https://www.ecb.europa.eu/press/pr/date/2025/html/ecb.mp250724~50bc70e13f.en.html;2025-09-11T20:38Z
EZ_ECB_ECB_PRESS_CONFERENCE_2025-07-24;ECB Press Conference;EZ;Europe/Berlin;2025-07-24T14:45;ECB;2025-07;high;Press conference;https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2025/html/ecb.is250724~a66e730494.en.html;2025-09-11T20:38Z
