event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MAN_200701021000;ISM Manufacturing PMI;US;America/New_York;2007-01-02T10:00;Institute for Supply Management;2006-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200701041000;ISM Services PMI;US;America/New_York;2007-01-04T10:00;Institute for Supply Management;2006-12;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200702011000;ISM Manufacturing PMI;US;America/New_York;2007-02-01T10:00;Institute for Supply Management;2007-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200702051000;ISM Services PMI;US;America/New_York;2007-02-05T10:00;Institute for Supply Management;2007-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200703011000;ISM Manufacturing PMI;US;America/New_York;2007-03-01T10:00;Institute for Supply Management;2007-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200703051000;ISM Services PMI;US;America/New_York;2007-03-05T10:00;Institute for Supply Management;2007-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200704021000;ISM Manufacturing PMI;US;America/New_York;2007-04-02T10:00;Institute for Supply Management;2007-03;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200704041000;ISM Services PMI;US;America/New_York;2007-04-04T10:00;Institute for Supply Management;2007-03;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200705011000;ISM Manufacturing PMI;US;America/New_York;2007-05-01T10:00;Institute for Supply Management;2007-04;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200705031000;ISM Services PMI;US;America/New_York;2007-05-03T10:00;Institute for Supply Management;2007-04;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200706011000;ISM Manufacturing PMI;US;America/New_York;2007-06-01T10:00;Institute for Supply Management;2007-05;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200706051000;ISM Services PMI;US;America/New_York;2007-06-05T10:00;Institute for Supply Management;2007-05;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200707021000;ISM Manufacturing PMI;US;America/New_York;2007-07-02T10:00;Institute for Supply Management;2007-06;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200707051000;ISM Services PMI;US;America/New_York;2007-07-05T10:00;Institute for Supply Management;2007-06;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200708011000;ISM Manufacturing PMI;US;America/New_York;2007-08-01T10:00;Institute for Supply Management;2007-07;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200708031000;ISM Services PMI;US;America/New_York;2007-08-03T10:00;Institute for Supply Management;2007-07;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200709041000;ISM Manufacturing PMI;US;America/New_York;2007-09-04T10:00;Institute for Supply Management;2007-08;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200709061000;ISM Services PMI;US;America/New_York;2007-09-06T10:00;Institute for Supply Management;2007-08;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200710011000;ISM Manufacturing PMI;US;America/New_York;2007-10-01T10:00;Institute for Supply Management;2007-09;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_SERV_200710031000;ISM Services PMI;US;America/New_York;2007-10-03T10:00;Institute for Supply Management;2007-09;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
US_ISM_MAN_200711011000;ISM Manufacturing PMI;US;America/New_York;2007-11-01T10:00;Institute for Supply Management;2007-10;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/;2025-09-08T15:38:35Z
