event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_RETAIL_SALES_2010-01;Retail Sales (Advance);US;America/New_York;2010-02-12T08:30;Census;2010-01;high;;https://www2.census.gov/marts/adv1001.pdf;2025-09-08T22:31
US_CPI_2010-01;CPI;US;America/New_York;2010-02-19T08:30;BLS;2010-01;high;;https://www.bls.gov/schedule/archives/all/2010_all.htm;2025-09-08T22:31
US_PCE_2010-01;PCE (Personal Income & Outlays);US;America/New_York;2010-03-01T08:30;BEA;2010-01;high;;https://www.bea.gov/news/2010/personal-income-and-outlays-january-2010;2025-09-08T22:31
US_RETAIL_SALES_2010-02;Retail Sales (Advance);US;America/New_York;2010-03-12T08:30;Census;2010-02;high;;https://www2.census.gov/marts/adv1002.pdf;2025-09-08T22:31
US_CPI_2010-02;CPI;US;America/New_York;2010-03-18T08:30;BLS;2010-02;high;;https://www.bls.gov/schedule/archives/all/2010_all.htm;2025-09-08T22:31
US_PCE_2010-02;PCE (Personal Income & Outlays);US;America/New_York;2010-03-29T08:30;BEA;2010-02;high;;https://www.bea.gov/news/2010/personal-income-and-outlays-february-2010;2025-09-08T22:31
US_CPI_2010-03;CPI;US;America/New_York;2010-04-14T08:30;BLS;2010-03;high;;https://www.bls.gov/schedule/archives/all/2010_all.htm;2025-09-08T22:31
US_RETAIL_SALES_2010-03;Retail Sales (Advance);US;America/New_York;2010-04-14T08:30;Census;2010-03;high;;https://www2.census.gov/marts/adv1003.pdf;2025-09-08T22:31
US_PCE_2010-03;PCE (Personal Income & Outlays);US;America/New_York;2010-05-03T08:30;BEA;2010-03;high;;https://www.bea.gov/news/2010/personal-income-and-outlays-march-2010;2025-09-08T22:31
US_RETAIL_SALES_2010-04;Retail Sales (Advance);US;America/New_York;2010-05-14T08:30;Census;2010-04;high;;https://www2.census.gov/marts/adv1004.pdf;2025-09-08T22:31
US_CPI_2010-04;CPI;US;America/New_York;2010-05-19T08:30;BLS;2010-04;high;;https://www.bls.gov/schedule/archives/all/2010_all.htm;2025-09-08T22:31
US_PCE_2010-04;PCE (Personal Income & Outlays);US;America/New_York;2010-05-28T08:30;BEA;2010-04;high;;https://www.bea.gov/news/2010/personal-income-and-outlays-april-2010;2025-09-08T22:31
