event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_ISM_MANUFACTURING_PMI_2019-01-02;ISM Manufacturing PMI;US;America/New_York;2019-01-02T10:00;Institute for Supply Management;2019-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_ISM_SERVICES_PMI_2019-01-04;ISM Services PMI;US;America/New_York;2019-01-04T10:00;Institute for Supply Management;2019-01;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_PPI_2019-01-15;Producer Price Index (PPI);US;America/New_York;2019-01-15T08:30;U.S. Bureau of Labor Statistics;2018-12;high;;https://www.bls.gov/ppi/news-release/historical-release-dates-for-the-producer-price-index.pdf;2025-09-10T09:08Z
US_ISM_MANUFACTURING_PMI_2019-02-01;ISM Manufacturing PMI;US;America/New_York;2019-02-01T10:00;Institute for Supply Management;2019-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_ISM_SERVICES_PMI_2019-02-05;ISM Services PMI;US;America/New_York;2019-02-05T10:00;Institute for Supply Management;2019-02;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_PPI_2019-02-14;Producer Price Index (PPI);US;America/New_York;2019-02-14T08:30;U.S. Bureau of Labor Statistics;2019-01;high;;https://www.bls.gov/ppi/news-release/historical-release-dates-for-the-producer-price-index.pdf;2025-09-10T09:08Z
US_GDP_2019-02-28;Gross Domestic Product (GDP);US;America/New_York;2019-02-28T08:30;Bureau of Economic Analysis;2019-02;high;;https://www.bea.gov/news/2019/initial-gross-domestic-product-4th-quarter-and-annual-2018;2025-09-10T09:08Z
US_ISM_MANUFACTURING_PMI_2019-03-01;ISM Manufacturing PMI;US;America/New_York;2019-03-01T10:00;Institute for Supply Management;2019-03;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_ISM_SERVICES_PMI_2019-03-05;ISM Services PMI;US;America/New_York;2019-03-05T10:00;Institute for Supply Management;2019-03;high;;https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/;2025-09-10T09:08Z
US_PPI_2019-03-13;Producer Price Index (PPI);US;America/New_York;2019-03-13T08:30;U.S. Bureau of Labor Statistics;2019-02;high;;https://www.bls.gov/ppi/news-release/historical-release-dates-for-the-producer-price-index.pdf;2025-09-10T09:08Z
