event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_CPI_2025-01-15;Consumer Price Index (CPI);US;America/New_York;2025-01-15T08:30;U.S. Bureau of Labor Statistics;2025-01;high;;https://www.bls.gov/news.release/archives/cpi_01152025.htm;2025-09-10T18:19Z
US_RETAIL_SALES_ADVANCE_2025-01-16;Retail Sales (Advance);US;America/New_York;2025-01-16T08:30;U.S. Census Bureau;2025-01;high;;https://www.census.gov/retail/release_schedule.html;2025-09-10T18:19Z
US_PCE_2025-01-31;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2025-01-31T08:30;U.S. Bureau of Economic Analysis;2025-01;high;;https://www.bea.gov/sites/default/files/2024-09/2025-News-Release-Schedule.pdf;2025-09-10T18:19Z
US_CPI_2025-02-12;Consumer Price Index (CPI);US;America/New_York;2025-02-12T08:30;U.S. Bureau of Labor Statistics;2025-02;high;;https://www.bls.gov/news.release/archives/cpi_02122025.htm;2025-09-10T18:19Z
US_RETAIL_SALES_ADVANCE_2025-02-14;Retail Sales (Advance);US;America/New_York;2025-02-14T08:30;U.S. Census Bureau;2025-02;high;;https://www.census.gov/retail/release_schedule.html;2025-09-10T18:19Z
US_PCE_2025-02-28;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2025-02-28T08:30;U.S. Bureau of Economic Analysis;2025-02;high;;https://www.bea.gov/sites/default/files/2024-09/2025-News-Release-Schedule.pdf;2025-09-10T18:19Z
US_CPI_2025-03-12;Consumer Price Index (CPI);US;America/New_York;2025-03-12T08:30;U.S. Bureau of Labor Statistics;2025-03;high;;https://www.bls.gov/news.release/archives/cpi_03122025.htm;2025-09-10T18:19Z
US_RETAIL_SALES_ADVANCE_2025-03-17;Retail Sales (Advance);US;America/New_York;2025-03-17T08:30;U.S. Census Bureau;2025-03;high;;https://www.census.gov/retail/release_schedule.html;2025-09-10T18:19Z
US_PCE_2025-03-28;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2025-03-28T08:30;U.S. Bureau of Economic Analysis;2025-03;high;;https://www.bea.gov/sites/default/files/2024-09/2025-News-Release-Schedule.pdf;2025-09-10T18:19Z
US_CPI_2025-04-10;Consumer Price Index (CPI);US;America/New_York;2025-04-10T08:30;U.S. Bureau of Labor Statistics;2025-04;high;;https://www.bls.gov/news.release/archives/cpi_04102025.htm;2025-09-10T18:19Z
US_RETAIL_SALES_ADVANCE_2025-04-16;Retail Sales (Advance);US;America/New_York;2025-04-16T08:30;U.S. Census Bureau;2025-04;high;;https://www.census.gov/retail/release_schedule.html;2025-09-10T18:19Z
US_PCE_2025-04-30;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2025-04-30T10:00;U.S. Bureau of Economic Analysis;2025-04;high;;https://www.bea.gov/sites/default/files/2024-09/2025-News-Release-Schedule.pdf;2025-09-10T18:19Z
US_CPI_2025-05-13;Consumer Price Index (CPI);US;America/New_York;2025-05-13T08:30;U.S. Bureau of Labor Statistics;2025-05;high;;https://www.bls.gov/news.release/archives/cpi_05132025.htm;2025-09-10T18:19Z
US_RETAIL_SALES_ADVANCE_2025-05-15;Retail Sales (Advance);US;America/New_York;2025-05-15T08:30;U.S. Census Bureau;2025-05;high;;https://www.census.gov/retail/release_schedule.html;2025-09-10T18:19Z
US_PCE_2025-05-30;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2025-05-30T08:30;U.S. Bureau of Economic Analysis;2025-05;high;;https://www.bea.gov/sites/default/files/2024-09/2025-News-Release-Schedule.pdf;2025-09-10T18:19Z
